Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
g10620.t1	g10620.t1	4	4	4		1	4	4	4	3	4	4	4	3	2	3	2	3	3	4	4	4	3	2	3	2	3	3	4	4	4	3	2	3	2	3	20.6	20.6	20.6	30.145	282	282	1	34	0	25.895	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	14.5	20.6	20.6	20.6	14.5	11.7	14.5	11.7	14.5	16508000	1584500	1676000	1267600	2622400	2925500	1023600	1628400	2893800	886590	1897500	3744700	2093600	3516300	1546000	0	1641200	0	1709200	0	2	0	3	0	0	1	0	1	7				53	32;2590;2693;2768	True;True;True;True	32;2800;2906;2984	179;180;181;182;183;184;185;18691;18692;18693;18694;18695;18696;18697;18698;18699;18700;18701;18702;18703;18704;18705;19385;19386;19387;19916;19917;19918;19919;19920;19921;19922;19923;19924	60;6568;6569;6813;7004;7005;7006;7007	60;6568;6813;7004		
g10631.t1	g10631.t1	2	2	2		1	2	2	2	1	0	0	2	1	2	0	2	1	1	0	0	2	1	2	0	2	1	1	0	0	2	1	2	0	2	1	9	9	9	32.145	300	300	1	9	0	15.947	By matching			By MS/MS	By MS/MS	By matching		By matching	By matching	4.3	0	0	9	4.3	9	0	9	4.3	5683200	140740	0	0	887170	1159300	1289600	0	1509300	697180	0	0	0	0	0	0	0	905330	0	0	0	0	1	0	0	0	0	0	1				54	435;788	True;True	459;834	2984;2985;2986;2987;2988;2989;5503;5504;5505	1073;1966	1073;1966		
g10648.t1	g10648.t1	2	2	2		1	2	2	2	2	2	0	2	2	1	1	2	1	2	2	0	2	2	1	1	2	1	2	2	0	2	2	1	1	2	1	15	15	15	13.166	120	120	1	13	0	13.495	By matching	By MS/MS		By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	15	15	0	15	15	6.7	6.7	15	6.7	5406300	1689300	477920	0	913710	979240	126170	234950	634030	350970	1301200	897980	0	1236500	949740	0	0	669260	0	0	2	0	1	1	0	0	0	0	4				55	973;2940	True;True	1029;3165	6839;6840;6841;6842;6843;6844;6845;6846;21091;21092;21093;21094;21095	2420;7476;7477;7478	2420;7477		
g10680.t1	g10680.t1	2	2	2		1	2	2	2	2	2	1	2	1	0	2	2	1	2	2	1	2	1	0	2	2	1	2	2	1	2	1	0	2	2	1	26.2	26.2	26.2	11.619	103	103	1	13	0	14.656	By matching	By MS/MS	By MS/MS	By matching	By matching		By matching	By matching	By matching	26.2	26.2	19.4	26.2	6.8	0	26.2	26.2	19.4	2248200	294180	363160	155980	239190	355130	0	454320	279870	106360	279310	732560	0	289410	0	0	287940	210280	0	0	2	1	0	0	0	0	0	0	3				56	2490;3121	True;True	2692;3360	17968;17969;17970;17971;17972;17973;17974;22444;22445;22446;22447;22448;22449	6362;6363;7955	6362;7955		
g10687.t1	g10687.t1	2	2	2		1	2	2	2	1	2	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	3.8	3.8	3.8	51.007	475	475	1	13	0	22.767	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	3.8	3.8	3.8	3.8	1.9	1.9	1.9	1.9	3.8	6740400	413420	2102600	1205000	591680	372150	200200	624890	419610	810790	0	4434400	2194200	0	0	0	0	0	1292000	0	1	1	0	0	0	1	0	1	4				57	2318;2319	True;True	2508;2509	16715;16716;16717;16718;16719;16720;16721;16722;16723;16724;16725;16726;16727	5920;5921;5922;5923	5920;5923		
g10723.t1	g10723.t1	6	6	6		1	6	6	6	5	2	5	1	5	4	6	5	4	5	2	5	1	5	4	6	5	4	5	2	5	1	5	4	6	5	4	21.9	21.9	21.9	28.96	260	260	1	49	0	38.887	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.9	12.3	17.3	2.7	21.9	20.8	21.9	21.9	16.9	31502000	3695300	284240	485160	264240	3955300	3982400	8571600	7900500	2363600	3465200	0	2282000	0	3541600	3192200	4169900	3335800	3176700	2	0	1	0	1	1	4	1	1	11				58	1041;2161;2162;2391;2869;3337	True;True;True;True;True;True	1104;2305;2306;2587;2588;3091;3092;3590	7329;7330;7331;7332;7333;7334;15334;15335;15336;15337;15338;15339;15340;15341;15342;15343;17241;17242;17243;17244;17245;17246;17247;17248;17249;17250;20627;20628;20629;20630;20631;20632;20633;20634;20635;20636;20637;20638;20639;20640;20641;20642;23954;23955;23956;23957;23958;23959;23960	2601;5453;5454;5455;5456;5457;5458;6092;6093;7318;7319;7320;7321;8560	2601;5456;5458;6092;7321;8560	40;41	22;48
g10730.t1	g10730.t1	4	4	4		1	4	4	4	2	1	1	2	3	2	4	4	3	2	1	1	2	3	2	4	4	3	2	1	1	2	3	2	4	4	3	19.2	19.2	19.2	34.979	323	323	1	22	0	26.77	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	6.8	3.7	3.7	7.1	16.1	12.1	19.2	19.2	15.5	6369100	280520	74641	80129	197630	822450	957890	1595000	2033100	327710	637490	0	0	0	579080	592280	1046700	884270	478090	0	0	0	0	0	0	3	0	0	3				59	399;2448;3553;3662	True;True;True;True	421;2648;3822;3936	2757;2758;2759;2760;2761;2762;2763;17648;17649;17650;17651;17652;25567;25568;25569;25570;25571;26311;26312;26313;26314;26315	1002;6244;9118;9408	1002;6244;9118;9408		
g10770.t1	g10770.t1	2	2	2		1	2	2	2	2	1	1	1	0	1	1	1	1	2	1	1	1	0	1	1	1	1	2	1	1	1	0	1	1	1	1	19	19	19	18.638	168	168	1	9	0	12.649	By MS/MS	By matching	By matching	By matching		By MS/MS	By MS/MS	By MS/MS	By matching	19	6.5	6.5	6.5	0	12.5	12.5	12.5	6.5	2718200	451170	320030	78242	288970	0	298820	500210	663690	117040	451170	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	5				60	615;3307	True;True	650;3555	4245;4246;4247;4248;4249;23714;23715;23716;23717	1519;8449;8450;8451;8452	1519;8449		
g10775.t1	g10775.t1	2	2	2		1	2	2	2	2	1	0	1	2	0	2	2	1	2	1	0	1	2	0	2	2	1	2	1	0	1	2	0	2	2	1	36.5	36.5	36.5	10.027	96	96	1	11	0	16.429	By MS/MS	By matching		By MS/MS	By matching		By matching	By MS/MS	By matching	36.5	13.5	0	22.9	36.5	0	36.5	36.5	13.5	3201500	775240	219280	0	109640	668210	0	621590	588130	219390	800530	0	0	0	480880	0	413400	385650	0	2	0	0	1	0	0	0	1	0	4				61	284;1223	True;True	297;1295	1922;1923;1924;1925;1926;1927;8621;8622;8623;8624;8625	729;3091;3092;3093	729;3091		
g10801.t1	g10801.t1	6	3	3		1	6	3	3	4	4	2	2	5	4	6	6	6	3	3	2	1	2	1	3	3	3	3	3	2	1	2	1	3	3	3	34.5	20.7	20.7	22.528	203	203	1	26	0	21.589	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	29.6	29.6	12.8	9.9	26.6	20.2	34.5	34.5	34.5	24386000	6681800	908650	50614	181370	722220	752380	7283000	6627100	1178600	4193200	3040200	0	0	0	0	3029500	4269100	4271400	1	2	0	0	0	1	0	1	2	7				62	46;47;650;651;1428;3175	False;False;True;True;True;False	47;48;686;687;1523;3418	277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;4493;4494;4495;4496;4497;4498;4499;4500;4501;4502;4503;4504;4505;4506;4507;4508;4509;4510;4511;4512;4513;10123;10124;10125;10126;10127;22783;22784;22785;22786;22787;22788	98;99;100;101;102;103;104;105;1600;1601;1602;1603;1604;1605;3616;8077;8078;8079;8080;8081	98;105;1600;1605;3616;8077	42	58
g10805.t1	g10805.t1	2	2	2		1	2	2	2	1	1	1	2	2	1	2	2	2	1	1	1	2	2	1	2	2	2	1	1	1	2	2	1	2	2	2	23.6	23.6	23.6	11.946	127	127	1	18	0	19.229	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	10.2	10.2	10.2	23.6	23.6	13.4	23.6	23.6	23.6	12412000	150200	295560	244400	915380	2397100	2907200	1709800	2329800	1462500	0	0	0	1835300	1661900	1839100	1243100	1149000	1590600	0	1	1	1	0	1	0	2	0	6				63	190;357	True;True	196;379	1264;1265;1266;1267;1268;1269;1270;1271;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459	478;479;480;901;902;903;904	478;901	43	45
g10816.t1	g10816.t1	2	2	2		1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	22.7	22.7	22.7	22.163	207	207	1	18	0	91.886	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	22.7	9.2	9.2	22.7	22.7	22.7	22.7	22.7	22.7	16989000	2121000	616470	562540	1802300	3744100	2041600	2692700	2028600	1379900	2701400	0	0	1910700	2302300	1533200	1817400	1453700	1715900	1	1	2	2	1	0	1	1	1	10				64	1906;3459	True;True	2036;3720	13501;13502;13503;13504;13505;13506;13507;13508;24884;24885;24886;24887;24888;24889;24890;24891;24892;24893	4817;4818;4819;8885;8886;8887;8888;8889;8890;8891	4817;8885		
g10829.t1	g10829.t1	3	3	3		1	3	3	3	3	3	2	2	0	1	2	3	3	3	3	2	2	0	1	2	3	3	3	3	2	2	0	1	2	3	3	5.8	5.8	5.8	91.894	893	893	1	19	0	166.18	By MS/MS	By MS/MS	By MS/MS	By matching		By matching	By MS/MS	By matching	By matching	5.8	5.8	3.2	3.2	0	1.7	3.2	5.8	5.8	7626200	1562100	1955500	219730	640100	0	269240	1185300	935480	858740	2059900	2892300	834640	952720	0	0	985040	588400	816410	2	2	1	0	0	0	1	0	0	6				65	171;936;996	True;True;True	175;991;1053	1134;1135;1136;1137;1138;1139;1140;6585;6586;6587;6588;6993;6994;6995;6996;6997;6998;6999;7000	406;2346;2464;2465;2466;2467	406;2346;2464		
g10834.t1	g10834.t1	3	3	3		1	3	3	3	2	0	2	1	3	3	0	2	2	2	0	2	1	3	3	0	2	2	2	0	2	1	3	3	0	2	2	11.9	11.9	11.9	45.693	421	421	1	15	0	29.229	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By matching	8.8	0	8.8	4	11.9	11.9	0	8.8	8.8	5494800	225890	0	152450	717950	2220400	1614200	0	369220	194640	426350	0	318800	0	1001200	1324300	0	338110	371230	2	0	1	1	1	2	0	0	0	7				66	226;1919;2896	True;True;True	235;2049;3119	1502;1503;1504;1505;1506;1507;1508;13575;13576;13577;13578;13579;13580;20800;20801	582;583;584;585;4843;4844;7380	584;4844;7380		
g10842.t1	g10842.t1	2	2	2		1	2	2	2	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	3.3	3.3	3.3	55.904	539	539	1	12	0	12.224	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	3.3	3.3	1.3	1.3	2	3.3	1.3	1.3	1.3	6961500	1085600	1004700	219030	73575	491030	1875600	489640	1466000	256370	1029100	1943200	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3				67	94;3136	True;True	95;3376	604;605;606;607;608;609;610;611;22539;22540;22541;22542	216;217;7992	216;7992		
g10853.t1	g10853.t1	2	2	2		1	2	2	2	1	0	2	1	2	1	1	2	2	1	0	2	1	2	1	1	2	2	1	0	2	1	2	1	1	2	2	16.6	16.6	16.6	16.495	145	145	1	13	0	12.445	By matching		By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	7.6	0	16.6	9	16.6	7.6	7.6	16.6	16.6	8560900	526030	0	696880	119870	2826200	1113300	1553600	987460	737590	0	0	1764400	0	1497600	0	0	733600	1084400	0	0	2	0	2	0	0	0	0	4				68	1040;2006	True;True	1102;1103;2140	7323;7324;7325;7326;7327;7328;14203;14204;14205;14206;14207;14208;14209	2598;2599;2600;5068;5069	2599;5069	44	141
g10885.t1	g10885.t1	4	4	4		1	4	4	4	3	2	1	2	3	4	4	4	3	3	2	1	2	3	4	4	4	3	3	2	1	2	3	4	4	4	3	13.6	13.6	13.6	50.48	469	469	1	26	0	24.72	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	9.4	4.3	1.9	4.3	9.4	13.6	13.6	13.6	9.4	11538000	1335700	1065200	98122	498790	989680	2422700	1566500	2477400	1083500	1146000	2068800	0	1227500	933300	944100	961970	1552500	1344700	0	0	0	0	0	0	3	2	0	5				69	154;331;2501;3671	True;True;True;True	156;345;2703;3945	1008;1009;1010;1011;1012;1013;1014;1015;2260;2261;2262;18033;18034;18035;18036;18037;18038;18039;18040;18041;26356;26357;26358;26359;26360;26361	364;830;6381;9418;9419	364;830;6381;9418		
g10905.t1	g10905.t1	3	3	3		1	3	3	3	3	2	1	0	1	3	1	2	1	3	2	1	0	1	3	1	2	1	3	2	1	0	1	3	1	2	1	28.7	28.7	28.7	14.961	136	136	1	14	0	20.343	By MS/MS	By matching	By matching		By matching	By matching	By matching	By MS/MS	By MS/MS	28.7	21.3	11.8	0	9.6	28.7	11.8	19.1	9.6	4070100	1024400	665060	65367	0	264690	846060	332660	230160	641650	885390	1264600	0	0	0	629640	0	0	0	3	0	0	0	0	0	0	1	1	5				70	1064;1328;1806	True;True;True	1128;1415;1928	7510;7511;7512;9427;9428;9429;9430;9431;9432;12854;12855;12856;12857;12858	2668;3388;3389;4562;4563	2668;3388;4562		
g10948.t1	g10948.t1	2	2	2		1	2	2	2	1	1	0	2	2	2	1	0	2	1	1	0	2	2	2	1	0	2	1	1	0	2	2	2	1	0	2	22.7	22.7	22.7	16.41	154	154	1	15	0	13.321	By matching	By MS/MS		By MS/MS	By MS/MS	By matching	By matching		By MS/MS	16.9	5.8	0	22.7	22.7	22.7	16.9	0	22.7	14087000	402490	396760	0	4174700	2241200	864850	1511900	0	4494700	0	0	0	4852300	4194900	0	0	0	4271800	0	1	0	1	1	0	0	0	1	4				71	75;3266	True;True	76;3514	480;481;482;483;484;485;486;487;488;489;23454;23455;23456;23457;23458	176;177;8352;8353	177;8353		
g10969.t1	g10969.t1	5	5	5		1	5	5	5	5	4	2	4	5	2	2	2	3	5	4	2	4	5	2	2	2	3	5	4	2	4	5	2	2	2	3	41.2	41.2	41.2	19.21	187	187	1	29	0	47.049	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	41.2	26.7	12.8	37.4	41.2	22.5	22.5	12.8	26.2	42450000	5912800	9057300	4003400	6137600	7158500	1456400	2887200	2541200	3295700	4492500	14231000	5220900	5263600	5305700	4444700	6572700	2571600	7610400	3	3	1	1	1	1	2	0	1	13				72	132;1907;2056;2246;2584	True;True;True;True;True	134;2037;2196;2417;2794	891;892;893;894;13509;13510;13511;13512;13513;13514;13515;13516;13517;14595;14596;14597;14598;14599;14600;16126;16127;16128;16129;18665;18666;18667;18668;18669;18670	322;323;324;4820;4821;4822;4823;4824;4825;4826;5212;5709;6560	324;4825;5212;5709;6560		
g10975.t1	g10975.t1	3	3	3		1	3	3	3	3	2	3	3	2	2	2	3	3	3	2	3	3	2	2	2	3	3	3	2	3	3	2	2	2	3	3	7.4	7.4	7.4	64.51	612	612	1	23	0	187.82	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.4	5.6	7.4	7.4	4.4	4.4	4.4	7.4	7.4	20759000	2612600	1575900	3085200	1044900	692720	1381600	4974600	2616700	2774900	0	4166000	3636100	2036600	1264900	1758100	4242500	1334400	3405500	0	1	1	1	1	1	1	1	1	8				73	1366;2057;2933	True;True;True	1456;2197;3158	9698;9699;9700;9701;9702;9703;14601;14602;14603;14604;14605;14606;14607;14608;21043;21044;21045;21046;21047;21048;21049;21050;21051	3487;3488;5213;5214;5215;7462;7463;7464	3487;5213;7462		
g10980.t1;g1749.t1	g10980.t1	15;1	15;1	15;1		2	15	15	15	10	12	6	6	9	9	11	9	12	10	12	6	6	9	9	11	9	12	10	12	6	6	9	9	11	9	12	34.8	34.8	34.8	51.347	491	491;336	1	94	0	161.25	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.2	26.9	13.2	13.6	21.2	22.2	27.9	19.8	27.5	77456000	10075000	9440300	831080	2665000	5130400	8391200	12767000	16271000	11884000	8593400	17426000	2854800	6918100	2499100	5028800	9701000	11798000	11093000	5	4	1	3	1	5	6	4	4	33				74	82;306;417;716;1095;1244;1360;1425;2362;2443;2444;2883;2943;3207;3208	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	83;319;439;757;1161;1319;1450;1520;2556;2643;2644;3106;3168;3452;3453	531;2093;2094;2095;2096;2867;2868;2869;2870;2871;2872;2873;2874;4978;4979;4980;4981;4982;4983;4984;4985;7718;7719;7720;7721;7722;7723;7724;7725;8786;8787;8788;8789;8790;8791;8792;9665;9666;9667;9668;9669;9670;9671;9672;10097;17049;17050;17051;17052;17601;17602;17603;17604;17605;17606;17607;17608;17609;17610;17611;17612;17613;17614;17615;17616;17617;17618;17619;17620;17621;17622;17623;17624;17625;17626;17627;17628;20726;21112;21113;21114;21115;23040;23041;23042;23043;23044;23045;23046;23047;23048;23049;23050;23051	192;778;1046;1764;1765;1766;1767;1768;2741;2742;2743;2744;3157;3158;3159;3160;3161;3162;3479;3610;6025;6228;6229;6230;6231;6232;6233;6234;6235;6236;7356;7489;8182;8183;8184;8185	192;778;1046;1766;2742;3157;3479;3610;6025;6228;6233;7356;7489;8182;8185		
g11019.t1	g11019.t1	7	7	7		1	7	7	7	5	5	6	6	7	6	5	6	5	5	5	6	6	7	6	5	6	5	5	5	6	6	7	6	5	6	5	44.5	44.5	44.5	22.231	211	211	1	57	0	73.803	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	35.5	35.1	39.8	40.3	44.5	38.4	35.5	37.4	31.8	32209000	2602000	2573900	5116000	4825600	3683600	1381800	4082800	4218900	3724800	2592700	3719800	15728000	4295500	2474400	1175800	2228700	2330600	6106800	0	1	5	1	1	1	0	0	2	11				75	148;427;2082;2400;2555;3507;3699	True;True;True;True;True;True;True	150;450;2222;2597;2764;3771;3973	976;977;978;979;2929;2930;2931;2932;2933;2934;2935;2936;14766;14767;14768;14769;14770;14771;14772;14773;17295;17296;17297;17298;17299;17300;18431;18432;18433;18434;18435;18436;18437;18438;18439;18440;18441;18442;18443;18444;18445;25222;25223;25224;25225;25226;25227;25228;25229;26536;26537;26538;26539;26540;26541;26542;26543	353;1059;5258;6106;6107;6108;6494;6495;6496;6497;8994;8995;9474	353;1059;5258;6107;6496;8995;9474		
g11051.t1	g11051.t1	2	2	2		1	2	2	2	1	2	1	1	1	2	2	2	2	1	2	1	1	1	2	2	2	2	1	2	1	1	1	2	2	2	2	30.2	30.2	30.2	10.183	86	86	1	19	0	12.258	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	17.4	30.2	12.8	12.8	12.8	30.2	30.2	30.2	30.2	3830600	218530	87700	6638.3	31676	289410	524990	903840	1182700	585140	0	200960	0	0	0	340760	686300	482160	470990	0	0	0	0	0	0	2	0	2	4				76	1576;1586	True;True	1679;1691;1692	11121;11122;11123;11124;11125;11126;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11236;11237;11238	3960;3992;3993;3994	3960;3992	45	9
g11064.t1	g11064.t1	4	4	4		1	4	4	4	4	2	2	2	2	4	3	4	3	4	2	2	2	2	4	3	4	3	4	2	2	2	2	4	3	4	3	28	28	28	16.467	175	175	1	26	0	26.248	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	28	10.3	10.3	10.3	14.3	28	20	28	20	26770000	3836300	1052000	395390	724540	2020900	4330500	3680900	9308000	1421900	2886900	0	2157300	0	0	0	2287800	0	0	1	0	1	0	0	0	1	0	0	3				77	384;2073;3053;3664	True;True;True;True	406;2213;3288;3938	2647;2648;2649;2650;2651;2652;14699;14700;14701;14702;14703;14704;14705;14706;21940;21941;21942;21943;21944;21945;21946;21947;21948;26327;26328;26329	963;5235;7778;9411	963;5235;7778;9411		
g11072.t1	g11072.t1	3	3	3		1	3	3	3	3	2	3	2	1	3	1	2	2	3	2	3	2	1	3	1	2	2	3	2	3	2	1	3	1	2	2	37.3	37.3	37.3	16.943	161	161	1	26	0	25.764	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.3	22.4	37.3	31.1	14.9	37.3	14.9	21.1	31.1	6842500	760090	183130	506300	723250	889040	1579700	923030	788300	489610	602530	845800	679510	1234400	791660	662450	851200	470790	610620	4	0	1	2	1	2	2	1	1	14				78	3142;3154;3365	True;True;True	3383;3395;3618	22575;22576;22577;22578;22579;22580;22581;22641;22642;22643;22644;22645;24148;24149;24150;24151;24152;24153;24154;24155;24156;24157;24158;24159;24160;24161	8010;8011;8012;8030;8613;8614;8615;8616;8617;8618;8619;8620;8621;8622	8011;8030;8613		
g11136.t1	g11136.t1	4	4	4		1	4	4	4	3	0	3	2	4	3	4	4	2	3	0	3	2	4	3	4	4	2	3	0	3	2	4	3	4	4	2	8.9	8.9	8.9	59.462	538	538	1	25	0	27.241	By MS/MS		By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	7.4	0	7.4	4.1	8.9	7.4	8.9	8.9	4.6	8477400	716660	0	181750	268050	1058400	1454500	2280200	2132400	385330	741530	0	0	0	814100	1050400	0	1094700	0	1	0	0	0	1	1	0	1	0	4				79	1573;1726;1984;3278	True;True;True;True	1676;1844;2117;3526	11103;11104;11105;11106;11107;11108;12328;12329;12330;12331;12332;12333;12334;12335;14046;14047;14048;14049;23536;23537;23538;23539;23540;23541;23542	3956;4381;5017;8382;8383	3956;4381;5017;8382		
g11145.t1	g11145.t1	4	4	4		1	4	4	4	0	2	1	1	4	4	4	4	4	0	2	1	1	4	4	4	4	4	0	2	1	1	4	4	4	4	4	23.4	23.4	23.4	29.622	269	269	1	24	0	25.747		By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	10.4	5.2	5.6	23.4	23.4	23.4	23.4	23.4	5991700	0	83385	110420	53368	652300	1497600	680350	2445800	468500	0	0	0	0	557530	1139500	473780	1158900	591410	0	0	0	0	1	1	1	1	1	5				80	437;643;695;3258	True;True;True;True	461;678;734;3506	2999;3000;3001;3002;3003;3004;3005;4430;4431;4432;4433;4434;4435;4824;4825;4826;4827;4828;23399;23400;23401;23402;23403;23404	1077;1078;1581;1714;1715;8332	1078;1581;1714;8332		
g11154.t1	g11154.t1	5	5	5		1	5	5	5	3	3	2	2	3	4	4	4	4	3	3	2	2	3	4	4	4	4	3	3	2	2	3	4	4	4	4	16.8	16.8	16.8	57.155	519	519	1	29	0	84.848	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	9.4	10.8	8.5	7.3	9.4	14.5	14.5	14.5	12.9	10631000	1057500	1504900	236660	383570	718510	1272600	2031700	2218600	1206900	1627300	3570100	572390	814380	868690	548070	913550	802800	840430	3	3	1	0	1	0	0	0	1	9				81	68;204;452;2044;2673	True;True;True;True;True	69;210;477;2184;2885	444;445;446;447;448;449;1348;1349;1350;1351;1352;1353;3103;3104;3105;3106;3107;3108;14505;14506;14507;14508;14509;14510;14511;14512;14513;19259;19260	162;515;1112;5187;5188;5189;5190;5191;6761	162;515;1112;5187;6761		
g11167.t1	g11167.t1	4	4	4		1	4	4	4	4	4	4	3	3	4	3	4	4	4	4	4	3	3	4	3	4	4	4	4	4	3	3	4	3	4	4	25	25	25	18.096	168	168	1	33	0	38.103	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	25	25	25	16.1	16.1	25	20.8	25	25	35215000	3828900	2703000	6087700	2353600	4522300	5629500	2658400	4891600	2539700	2833400	3111600	16785000	3420700	7021200	2493000	1890800	2147300	2426900	0	0	2	1	2	0	0	0	1	6				82	1018;1880;2489;3683	True;True;True;True	1077;2005;2691;3957	7157;7158;7159;7160;7161;7162;7163;7164;13291;13292;13293;13294;13295;13296;13297;13298;13299;17959;17960;17961;17962;17963;17964;17965;17966;17967;26439;26440;26441;26442;26443;26444;26445	2522;4731;4732;4733;4734;6360;6361;9448	2522;4732;6361;9448		
